[2024-07-14 04:25:09] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:25:12] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:25:24] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No topics found
[2024-07-14 04:27:26] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:27:49] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:27:51] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:30:47] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:31:03] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:31:21] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:31:51] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:35:43] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:38:05] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:38:26] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:38:31] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:38:35] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:38:44] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:39:09] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:39:25] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:52:01] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 05:01:55] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 07:08:19] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No topics found
